,Address,Business_Summary,Country_of_Incorporation,Established_In,Latest_Update,Name,Number_of_Employees,Ownership_Type,Primary_Sector,contacts
1110, Zahid Group Building Mohammed Al Taweel Street Mushrifa District 8928 Saudi Arabia Jeddah 21492 ,"Ownership, operation and management of casual dining restaurants.",Saudi Arabia,2003, Last updated on: 24 April 2018 ,Hospitality Ventures LLC ,25,Private,Food and Beverages,"Tel: +966 12-667-1156,Fax: +966 12-669-0727,"
1111, Al Nimran Hotel Prince Faisal Bin Fahad Street 340 Saudi Arabia Al Khobar 31952 ,Ownership and management of a hotel.,Saudi Arabia,1978, Also known as: Nimran Last updated on: 22 July 2019 ,Al Nimran Hotel ,42,Private,Leisure and Tourism,"Tel: +966 13-867-5618,Fax: +966 13-867-7872,Email: mail@alnimranhotel.com,Email: info@alnimranhotel.com,www.alnimranhotel.com,"
1112, Otaishan Consulting Engineers Building Talateen Street Olaya Area 62696 Saudi Arabia Riyadh 11595 ,"Provides engineering, environmental, project management, supervision consultancy services; offers architectural and interior design services.",Saudi Arabia,1991, Also known as: OCE Last updated on: 22 March 2018 ,Otaishan Consulting Engineers ,560,Private,Construction,"Tel: +966 11-465-2841,Fax: +966 11-465-7148,Email: oce@otaishan.com.sa,www.otaishan.com.sa,"
1113, Andalus Center Building 5 Olaya Road 1st Floor Al Worood District 2781 Saudi Arabia Riyadh 11461 ,"Provides repair and maintenance services; civil, electromechanical and plumbing contracting for building projects; provides renovation works; janitorial services including cleaning the exteriors and interiors of buildings, hospitals, universities, schools, airports, seaports, sea ports, docks and military bases; provides landscape, pest control, catering and waste management services. Through its main subsidiaries; it provides engineering, procurement and construction for building projects; management of hospitals.",Saudi Arabia,1980," Also known as: SOM, Samama O&M Last updated on: 25 September 2017 ",Samama Operation & Management ,1000,Private,Industrial Manufacturing,"Tel: +966 11-460-2545,Tel: +966 11-460-2631,Tel: +966 11-440-9111,Fax: +966 11-460-2631,Email: info@samama.com,"
1114, Riyadh Factory for Panel Boards Company Building Ihsa Street 170 Malaz Area 60454 Saudi Arabia Riyadh 11545 ,"Manufacture and distribution of panel board, motor control centers, transformer substations, switchgear, metal enclosures, cable support and trunking systems.",Saudi Arabia,1982, Also known as: RFPB Last updated on: 12 November 2018 ,Riyadh Factory for Panel Boards Company ,85,Private,Industrial Manufacturing,"Tel: +966 11-498-0391,Tel: +966 11-498-0935,Fax: +966 11-498-5879,Email: rfpb@rfpb.com,"
1115, Al Mokhmal Plaza Palestine Street 5th Floor Al Hamra Area 1125 Saudi Arabia Jeddah 21431 ,"Provides customized software solutions including enterprise resource planning, financial, product date and human resource management solutions.",Saudi Arabia,1983, Last updated on: 31 October 2018 ,DataOcean ,200,Private,Information Technology,"Tel: +966 12-661-1372,Fax: +966 12-665-4115,Email: info@dataocean.com,www.dataocean.com,"
1116, 15019 Saudi Arabia Jeddah 21444 ,"Distribution and installation of heating, ventilation, air conditioning systems.",Saudi Arabia,1991, Last updated on: 24 August 2018 ,Al Salem Air Conditioning Company Ltd. ,-,Private,Industrial Manufacturing,"Tel: +966 9200-03588,"
1117, Al Khayyam International Contracting Company Building 26 Omar Bin Abdulaziz Street Al Malaz District 63910 Saudi Arabia Riyadh 11526 ,Provides civil and electromechanical contracting for commercial and residential building and infrastructure projects; manufacture of prefabricated buildings.,Saudi Arabia,2000," Also known as: Al Khayam, Al Khayyam International Last updated on: 23 April 2019 ",Al Khayyam International Contracting Company ,500,Private,Construction,"Tel: +966 11-292-2224,Fax: +966 11-291-4755,Email: info@alkhayyam.com,www.alkhayyam.com,"
1118, Abdul Ghani El-Ajou & Sons Holding Trading Company Limited Building King Fahed Street 78 Saudi Arabia Riyadh 11411 ,"Distribution of office supplies including pens, pencils, markers, crayons, chalk, staplers, paper and note pads.",Saudi Arabia,1964, Also known as: Al Mouktashef Last updated on: 09 July 2018 ,Al Mouktashef Company ,80,Private,Consumer Goods,"Tel: +966 11-404-1717,Fax: +966 11-406-6258,"
1119," Finetool Saudi Arabia Company Building Road 67, Street 37 Jeddah Industrial City Phase 3 14924 Saudi Arabia Jeddah 21434 ","Manufacture of blow molds, die casting, injections and spare parts.",Saudi Arabia,1983, Last updated on: 07 September 2018 ,Finetool Saudi Arabia Company Limited ,75,Private,Industrial Manufacturing,"Tel: +966 12-637-0077,Tel: +966 12-608-0866,Fax: +966 12-637-0382,Email: info@finetoolsa.com,www.finetoolsa.com,"
1120, Saipem Taqa Al Rushaid Fabricators Co. Ltd. Building King Abdulaziz Seaport 32388 Saudi Arabia Dammam Al Khobar 31952 ,Manufacture of offshore steel structures and components; provides fossil fuel power generation.,Saudi Arabia,2007, Also known as: STAR Last updated on: 20 December 2018 ,Saipem Taqa Al Rushaid Fabricators Co. Ltd. ,1200,Private,Industrial Manufacturing,"Tel: +966 13-847-4937,Fax: +966 13-847-4938,Email: info.star@taqa.com.sa,www.starfab.com.sa,"
1121, Saudi National Lamps & Electricals Company Limited Building Al Oyoun Industrial Area 24014 Saudi Arabia Al Ahsa 31982 ,Manufacture of lamps and lighting fixtures.,Saudi Arabia,2009, Also known as: SANLEC Last updated on: 07 November 2018 ,Saudi National Lamps & Electricals Company Limited ,,Private,Industrial Manufacturing,"Tel: +966 13-534-2323,Fax: +966 13-533-3618,Email: info@sanlec.com,"
1122, Jamjoom Commercial Center Palestine Street Al Andalus District 704 Saudi Arabia Jeddah 21421 ,"Holding company with interests in distribution of general food products including confectionery, ice cream, rice, pasta, cheese, beans and sauces; provides local bus transportation, warehousing and storage services; Islamic auto financing and leasing services; distribution of passenger cars.",Saudi Arabia,1911," Also known as: M.Y. Naghi Group, MYNG, Mohamed Yousuf Naghi Group, Naghi Group Last updated on: 10 May 2019 ",Mohamed Yousuf Naghi & Brothers Group ,,Private,Food and Beverages,"Tel: +966 12-661-4047,Tel: +966 12-660-3391,Fax: +966 12-664-4376,Fax: +966 12-661-7779,Email: info@mynaghi.com,www.mynaghi.com,"
1123, Obeikan Bookstore Company Building King Fahad Road 1st Floor AI Muhammadiyah Area 67622 Saudi Arabia Riyadh 11517 ,Ownership and operation of bookstores.,Saudi Arabia,1991," Also known as: Obeikan Bookshop, Obeikan Bookstore Last updated on: 28 May 2019 ",Obeikan Bookstore Company ,500,Private,Retail,"Tel: +966 11-480-8654,Fax: +966 11-480-8260,Email: obs@obeikan.com.sa,https://www.obeikan.store,"
1124, Fathi Taleb and Sons Co Building 7601 Saudi Arabia Jeddah,Provides automotive rental services.,Saudi Arabia,2003," Also known as: HANCO KSA, HANCO RENT- A-CAR Last updated on: 31 July 2018 ",Fathi Taleb and Sons Co ,-,Private,Transport,"Tel: +966 12-664-0844,Fax: +966 12-6641-9729,Email: mft@wecare-ksa.com,hanco-ksa.com,"
1125, Pan Gulf Holding Company Building Corniche Road 2473 Saudi Arabia Al Khobar 31952 ,"Distribution and manufacture of fabricated metal products including universal beams, plates, channels, angles, flat bars, deformed bars and ,steel structures, aluminum zinc, aluminum sheets and coils and stainless steel products",Saudi Arabia,1978, Also known as: PGS Last updated on: 04 April 2018 ,Pan Gulf Steel Limited ,,Private,Industrial Manufacturing,"Tel: +966 13-867-0444,Tel: +966 13-899-9292,Fax: +966 13-896-2497,Email: sales@pangulfsteel.com,www.pangulfsteel.com,"
1126, Pan Gulf Industrial Systems Building King Fahad Street Ibn Sina Area 2473 Saudi Arabia Al Khobar 31952 ,"Distribution of safety and security machinery including sprinklers systems, suppression system, closed circuit television, access control system, bomb and metal detection system, command control systems, process automation systems, fire and gas detection system; manufacture of fabricated metal panels; provides engineering consultancy and technical services; provides business, risk and safety consultancy services; provides process safety management training services; provides repair and maintenance services; distribution of software solutions including crisis management applications.",Saudi Arabia,2003, Also known as: PGIS Last updated on: 22 April 2019 ,Pan Gulf Industrial Systems ,200,Private,Industrial Manufacturing,"Tel: +966 13-897-5651,Tel: +966 13-897-6867,Fax: +966 13-897-5654,Email: sales@pgisystems.com,www.pgisystems.com,"
1127, Pan Gulf Valves Services Co. Ltd. Building Road 120 Jubail Industrial City 10137 Saudi Arabia Jubail 31961 ,Provides repair and maintenance services for valves; provides abrasive cleaning and engineering consultancy services; electromechanical contracting and plumbing works.,Saudi Arabia,1983," Also known as: Pan Gulf Valves, Valvserve Last updated on: 12 November 2018 ",Pan Gulf Valves Services Co. Ltd. ,150,Private,Industrial Manufacturing,"Tel: +966 13-341-8514,Fax: +966 13-341-8515,Email: info@valvserve.com,www.valvserve.com,"
1128, Aal Taher Group Building Khalid Bin Walid Street Al Sharafiya Area 1178 Saudi Arabia Jeddah 21431 ,Production of animal feed.,Saudi Arabia,1982, Also known as: Radwa Last updated on: 26 November 2018 ,Radwa Feedmill Company ,20,Private,Agriculture,"Tel: +966 5977-71235,Email: info@aaltaher.com,"
1129, Industrial Systems Group Building Street 12 Dammam Second Industrial City Saudi Arabia Dammam 31421 ,"Manufacture of electrical and lighting equipment including panel boards and switches, junction and terminal boxes, transformers, enclosures, switch racks, cable splicing kits, electrical heat tracing, lighting panel boards, push buttons and push buttons stations, lights, field control switches and lighting fixtures.",Saudi Arabia,2008, Also known as: ISG Last updated on: 12 July 2018 ,Industrial Systems Group ,80,Private,Industrial Manufacturing,"Tel: +966 13-812-3349,Tel: +966 13-812-3279,Tel: +966 13-812-3280,Fax: +966 13-812-3278,Email: rfq@isg.com.sa,www.isg.com.sa,"
1130," Al-Ebdea Trading Center Prince Abdulaziz Ibn Musaid Ibn Jalawi Street 5th Floor, Office 3 and 4 Al Murabba Area 66384 Saudi Arabia Riyadh 12626 ",Provides security services.,Saudi Arabia,2009," Also known as: Securitas, Securitas Saudi Arabia Last updated on: 15 July 2019 ",Securitas Saudi Arabia Limited ,50,Private,Services,"Tel: +966 11-403-5518,Fax: +966 11-462-0630,Fax: +966 11-405-0137,"
1131, Tatweer Towers 1 King Fahad Road 5th Floor Al Mohammadiya Area 52827 Saudi Arabia Riyadh 11573 ,"Provides fossil fuel power generation; installation, repair and maintenance of chillers.",Saudi Arabia,2007," Also known as: NTCC, Source Energy Last updated on: 12 February 2019 ","Source Energy, Inc ",-,Private,Power and Utilities,"Tel: +966 11-203-9999,Fax: +966 11-203-9998,Email: info@sourceenergy.com.sa,www.sourceenergy.com.sa,"
1132, Arabian Battery Plant Building Jeddah Industial Area 19437 Saudi Arabia Jeddah 21435 ,Manufacture of batteries.,Saudi Arabia,1999, Also known as: ABP Last updated on: 24 August 2018 ,Arabian Battery Plant ,-,Private,Industrial Manufacturing,"Tel: +966 12-638-0101,"
1133, Arabian Plastics Industries Company Limited Building Jeddah Industrial Area 3 19437 Saudi Arabia Jeddah 21435 ,Manufacture of plastic products including films and bottles; manufacture of plastic packaging products including containers.,Saudi Arabia,1996, Also known as: APICO Last updated on: 28 February 2019 ,Arabian Plastics Industries Company Limited ,150,Private,Industrial Manufacturing,"Tel: +966 12-638-0101,Fax: +966 12-638-0930,Email: info@apico.com.sa,https://www.apico.com.sa,"
1134, South Side Building 1st Floor Al Hamra Area 5161 Saudi Arabia Riyadh 11422 ,Manufacture of precast concrete products.,Saudi Arabia,2008, Also known as: RDB-El Seif Last updated on: 30 July 2018 ,RDB-ELSIEF Co. Ltd. ,-,Private,Industrial Manufacturing,"Tel: +966 11-510-7150,Email: info@rdb-elseif.com,www.rdb-elseif.com,"
1135, King Abdulaziz Street 1st & 2nd Floor 126356 Saudi Arabia Jeddah 21352 ,Provides real estate property investment and development.,Saudi Arabia,2009, Also known as: Ewaan Last updated on: 11 April 2019 ,Ewaan Al Fareeda Residential Company ,,Private,Real Estate,"Tel: +966 12-234-6280,"
1136, Consulting Center Group Building 2462 Saudi Arabia Riyadh 11452 ,Provides business consulting services.,Saudi Arabia,N/A, Also known as: CCG Last updated on: 31 July 2018 ,Consulting Center Group ,-,Private,Services,"Tel: +966 11-478-2525,Fax: +966 11-476-8021,www.ccfi.com.sa,"
1137, Consulting Center Group Building 2462 Saudi Arabia Riyadh 11452 ,Provides business consulting services.,Saudi Arabia,N/A, Also known as: CCG Last updated on: 31 July 2018 ,Consulting Center Group ,-,Private,Services,"Tel: +966 11-478-2525,Fax: +966 11-476-8021,www.ccfi.com.sa,"
1138, Building 43 Prince Mamduh Bin Abdulaziz Street 2nd Floor 301522 Saudi Arabia Riyadh 11372 ,Distribution of software solutions including contact center and telephone call management solutions.,Saudi Arabia,2003, Also known as: Emcan Last updated on: 29 March 2019 ,Emcan business technologies & communication company ,15,Private,Information Technology,"Tel: +966 11-215-0901,Tel: +966 11-215-0902,Fax: +966 11-215-0904,Email: info@emcan.com.sa,www.emcan.com.sa,"
1139, Saudi Arabia Dammam,Manufacture of steel structure.,Saudi Arabia,2002, Also known as: CAL Last updated on: 18 December 2017 ,Canam Asia Ltd. (dissolved),-,Private,Industrial Manufacturing,
1140, Aratex Company Building Street 90 Jeddah Industrial Area 4 31279 Saudi Arabia Jeddah 21497 ,Manufacture of yarn.,Saudi Arabia,1996, Also known as: Aratex Last updated on: 28 September 2018 ,Arab Textile ,325,Private,Industrial Manufacturing,"Tel: +966 12-638-0527,Fax: +966 12-638-0813,Fax: +966 12-638-0527,Email: info@aratex-group.com,www.aratex-group.com,"
1141, Al Medina Water and Juices Company Building Medina Industrial Area 15691 Saudi Arabia Medina,Production of mineral water.,Saudi Arabia,1998," Also known as: Guba, Medina Water Last updated on: 31 October 2018 ",Al Medina Water and Juices Company ,40,Private,Food and Beverages,"Tel: +966 14-840-3013,Fax: +966 14-840-3005,"
1142, Saudi Arabia Al Khobar,"Ownership and operation of a home furniture, carpets, quilts, covers, beds, mattresses, pillows and pillow cases retail outlet.",Saudi Arabia,1960, Last updated on: 22 December 2017 ,Al-Ansari Establishment (dissolved),-,Foreign,Retail,
1143, Saudi Company for Prefabricated Buildings LLC Building Dirab Road 58645 Saudi Arabia Riyadh 11515 ,Manufacture of prefabricated buildings and wooden doors.,Saudi Arabia,1981, Also known as: Newfab Last updated on: 31 October 2018 ,Saudi Company for Prefabricated Buildings LLC ,550,Private,Industrial Manufacturing,"Tel: +966 11-464-6186,Tel: +966 11-464-4109,Fax: +966 11-464-5661,Fax: +966 11-214-3359,Email: newfab@newfabksa.com,www.newfabksa.com,"
1144, Bait Al-Batterjee Medical Education Company Limited Building Al Batterjiee Street Hijaz Region Saudi Arabia Jeddah 21461 ,Ownership and operation of hospitals.,Saudi Arabia,N/A," Also known as: BAB, Bait Al-Batterjee Medical Education Co. LTD Last updated on: 27 August 2018 ",Bait Al-Batterjee Medical Education Company Limited ,-,Private,Health Care,"Tel: +966 12-690-5129,Fax: +966 12-683-5874,"
1145, Al-Jazira Equipment Company Limited Building Corniche Road Al Mutlaq Area 1528 Saudi Arabia Al Khobar 31952 ,Provides automotive rental services; distribution of passenger cars; provide automotive repair and maintenance services.,Saudi Arabia,1983, Also known as: Autoworld Last updated on: 17 September 2018 ,Al-Jazira Equipment Company Limited ,100,Private,Transport,"Tel: +966 13-857-4007,Fax: +966 13-857-2407,Email: customerservice@autoworld.com.sa,www.autoworld.com.sa,"
